@RELATION	Pair

@ATTRIBUTE	DIS	NUMERIC
@ATTRIBUTE	CSI	NUMERIC
@ATTRIBUTE	TF	NUMERIC
@ATTRIBUTE	EVO	NUMERIC
@ATTRIBUTE	is_pair	{0,1}

@DATA
44675,	-0.299883329881873,	0.55240398637947,	0.404506218892351,	1
27240,	-0.173147358679904,	0.839440436785868,	1.07210051745901,	1
23586,	0.241785002659802,	0.706174942961823,	0.247412623428608,	1
6055,	0.156286835925747,	0.839489723572374,	0.379500331033687,	1
152824,	-0.0526941362141252,	0.864322936917566,	0.174484282740054,	1
81111,	0.699256930133162,	0.964383381840605,	0.784352161993462,	1
40238,	0.118361100503755,	0.625128803256707,	2.07147998023331,	1
11412,	0.363345435262113,	0.599545786451247,	3.30987262026657,	1
50353,	-0.046727252793791,	0.807441062829287,	2.05486139726218,	1
141761,	-0.706457049188418,	0.588639349494989,	1.8230078047444,	1
4208,	0.684347213233379,	0.487516114792522,	0.855597840903148,	1
390301,	0.292841522558999,	0.190697303183534,	0.0807924403171844,	1
290970,	-0.0414881131412192,	0.463367758330018,	0.0409805463005527,	1
259717,	0.320322247511424,	0.61385418665378,	0,	1
193473,	0.259013069291949,	0.178490373025039,	0,	1
131983559,	0.291896385054496,	0.999999849161364,	0,	1
131992881,	0.247453457775931,	0.238860974132254,	0,	1
41937,	0.264040953829431,	0.811756870055552,	0.113224087178539,	1
127301205,	0.511778201905062,	0.64973732253844,	0,	1
59654,	-0.528754468505519,	0.316212945650593,	0.133975873155887,	1
128151226,	0.711943790061537,	0.399286624448447,	0,	1
106229,	-0.505982852326362,	0.433254024726012,	0.0704416519299115,	1
15811,	-0.389614215160742,	0.339440067270229,	0.0732577993797425,	1
148615,	-0.218520246606467,	0.896272364234213,	0.102206318536522,	1
46999,	-0.170459607087676,	0.707498627288139,	0.0508996145698325,	1
3642,	0.366140144544037,	0.308614309118971,	0.320140530725891,	1
23668,	0.00988652333509124,	0.241050019472444,	0.493615412582291,	1
23044,	0.497797016307031,	0.491584245688504,	0.571961464686915,	1
37531,	0.425931417122033,	0.590952723579284,	0.53716761174786,	1
7742,	0.422770966314965,	0.543005188928593,	0.979592284252249,	1
13819,	0.184375439811364,	0.578730606644711,	0.53716761174786,	1
7233,	0.78264413483382,	0.872449580853681,	0.385514963030459,	1
18311,	0.660399853474196,	0.384233158438058,	0.807597743551839,	1
54235,	-0.587962541055995,	0.107712346625505,	1.89692986267591,	1
77977,	0.514685428856548,	0.396573663569422,	1.020355061157,	1
99844,	0.146094051260197,	0.384598661734747,	1.85586600463282,	1
26328,	0.411579383927855,	0.7830526532215,	2.76429731434564,	1
215507,	0.469054428058688,	0.7830526532215,	2.33880405486549,	1
4126,	0.00424071172848413,	0.390678029338008,	1.85586600463282,	1
32590,	0.00641247591390124,	0.130628997462356,	3.3762335193079,	1
42799,	-0.105415318511028,	0.52602605843583,	3.99869618269635,	1
34240,	0.600007446919502,	0.82627238335704,	1.47604775658645,	1
28389,	-0.310145588819507,	0.795982625233406,	0.998590859699096,	1
29358,	-0.1660193036921,	0.538168787022817,	0.875490613211175,	1
84479,	-0.16512840996566,	0.733211411351459,	2.86253317113494,	1
167832,	-0.373037289575777,	0.499932900739559,	2.69980797708539,	1
65112,	-0.4123616047344,	0.571879851055048,	5.73877315621437,	1
42736,	-0.193512442967571,	0.571879851055048,	5.73877315621437,	1
37011,	0.395438192910116,	0.719000860769019,	0.681900890189188,	1
17462,	0.0681802899023701,	0.756152911621404,	0.74354615284024,	1
112292,	0.603582261001507,	0.744174693392861,	0.612115165913106,	1
91843,	0.311479691689228,	0.888811798676044,	0.647260179325245,	1
197630,	0.401864934110543,	0.369454943437785,	0.089494296700429,	1
169128,	0.813534762557889,	0.659352231158966,	0.486760003707705,	1
26139,	0.0682271530732034,	0.258325356870117,	1.34530280183488,	1
69919,	-0.043646454704845,	0.231282318417516,	1.34530280183488,	1
38137,	0.124018914913049,	0.369454943437785,	0.482512373124224,	1
278677,	0.459736432667648,	0.577915612823512,	1.34530280183488,	1
254098,	0.0849905058381536,	0.924881201804282,	3.79082862139312,	1
4403,	-0.0722535166389078,	0.535211610005998,	3.11738577273732,	1
38892,	0.199111405523397,	0.491019017274936,	1.09654473148129,	1
19365,	-0.172831631542772,	0.491019017274936,	0.42180072090921,	1
8106,	0.344565827883246,	0.612356279750218,	0.519365612981143,	1
86555,	0.345138763872289,	0.628460153681183,	0.0594664219856613,	1
8960,	-0.0654722721305803,	0.0182713317912268,	2.11805729561104,	1
21407,	0.250483612202798,	0.112081923394727,	2.78991623195083,	1
7020,	0.534372566982928,	0.304234202046821,	2.38578230057821,	1
19469,	-0.0593257195776278,	0.813479972591469,	2.75444027327268,	1
13404,	0.137415239979219,	0.813479972591469,	2.90586360262633,	1
23096,	0.465359568483862,	0.527149846051316,	1.86575287667564,	1
7913,	0.930879624296176,	0.51370948773743,	0.822274003227681,	1
29410,	0.676868193535684,	0.578640486773595,	2.03868265530757,	1
4431,	0.479217756403142,	0.615059971619396,	1.21323871363796,	1
28407,	-0.0429538745131013,	0.858396669158105,	2.07164422740919,	1
3458,	-0.512209028008215,	0.128497860316911,	0.488675767602995,	1
92712,	0.222446520961607,	0.135162112998656,	2.00185182183585,	1
28090,	0.636031411800558,	0.486786029150506,	2.00185182183585,	1
38847,	-0.165440428459672,	0.380736266116683,	3.15584868299667,	1
3966,	0.618750852219826,	0.100331321452197,	1.56035775622321,	1
38535,	0.919181341154954,	0.892774956055017,	1.68653211786628,	1
45107,	0.992089361747399,	0.9986529213417,	0.742522607390566,	1
11044,	0.940093084609072,	0.9986529213417,	0.597341974927253,	1
147898,	0.542689805245326,	0.582953897086792,	2.29081608498053,	1
70267,	0.814559337261703,	0.526255948305511,	2.29081608498053,	1
49143,	0.16125347745564,	0.1863582919087,	2.29081608498053,	1
22175,	0.448111783594203,	0.753673355975656,	0.787449017875001,	1
5121,	0.125286237727931,	0.368471866687478,	2.62221906959062,	1
5959,	0.0745543477854856,	0.375718880480851,	2.31191312657892,	1
6335,	0.804698110000371,	0.80143710063385,	1.51827401666764,	1
266940,	-0.109248816014146,	0.433847152042451,	2.09027416545776,	1
12947,	0.00689357681161951,	-0.0426817626605893,	2.09027416545776,	1
95534,	0.301940531283663,	0.474601890591124,	3.66414537037246,	1
191469,	0.654455761769266,	0.563574880780874,	2.96312988558464,	1
63981,	0.531923048066002,	0.563574880780874,	1.82014829794118,	1
2580,	0.912653439863932,	0.558954100982451,	1.54585506935526,	1
37487,	0.42574916380673,	0.250870452217631,	0.185800930289682,	1
46625,	0.73649307999556,	0.940517746782834,	0.345983070079077,	1
25617,	0.634240322966132,	0.735742234411687,	0.434552446450936,	1
86123,	0.674609481623052,	0.555879984892441,	0.376176056835746,	1
43973,	0.291692846264975,	0.619860784675658,	0.454096329595368,	1
26147,	0.108428837472715,	0.349863757629789,	0.345466648353981,	1
66583,	0.843667619290115,	0.202906798705501,	1.27238964741999,	1
47305,	0.0131674212074949,	0.624465365490316,	2.1159873589856,	1
39361,	0.355718487807703,	0.712883804514047,	2.1159873589856,	1
55135,	0.178365286857906,	0.624465365490316,	2.1159873589856,	1
480165,	0.0117341521066925,	0.656279104031324,	0.0168232964821014,	1
70013,	0.325970239626821,	0.520322540904454,	0.898713697200393,	1
71083,	0.792838356996497,	0.31214532443018,	0,	1
100336,	0.774144671065963,	0.615880176627944,	0.264927917727622,	1
